HOG	OG	Gene_Tree	carinata.protein	galeata.protein	magna.protein	pulex.euro.protein	pulex.nam.protein	pulicaria.protein	sinensis.protein
N0.HOG0000692	OG0000154	n1			XP_045034730.1, XP_045035085.1	Daphnia08997-RB		XP_046643427.1, XP_046653934.1, XP_046650610.1, XP_046649602.1	KAI9549123.1
N0.HOG0000693	OG0000154	n11						XP_046643424.1, XP_046643423.1	
N0.HOG0000694	OG0000154	n13		CAH0098503.1	XP_045025927.1, XP_045029851.1, XP_045030603.1		XP_046455308.1		KAI9551162.1
N0.HOG0000695	OG0000154	n19			XP_045035083.1	Daphnia08996-RA		XP_046640404.1, XP_046643085.1	KAI9549301.1, KAI9550598.1
N0.HOG0000696	OG0000154	n24						XP_046640118.1, XP_046650581.1	KAI9551217.1
N0.HOG0000697	OG0000154	n26			XP_045034592.1			XP_046648252.1	KAI9551160.1
N0.HOG0000698	OG0000155	n0		CAH0103505.1, CAH0109981.1, CAH0104787.1, CAH0108284.1, CAH0108239.1, CAH0111784.1, CAH0110248.1, CAH0104785.1, CAH0109634.1, CAH0102765.1, CAH0104784.1, CAH0104284.1, CAH0105854.1, CAH0105853.1, CAH0102763.1, CAH0111786.1, CAH0098839.1, CAH0105930.1	XP_045028603.1, XP_045028602.1, XP_045031680.1, XP_045023421.1	Daphnia05694-RA, Daphnia05691-RA, Daphnia04303-RA, Daphnia07822-RA, Daphnia07789-RA, Daphnia05673-RA			KAI9562469.1
N0.HOG0000699	OG0000156	n1		CAH0100005.1	XP_045036766.1, XP_045027156.1, XP_045024713.1, XP_045032391.1	Daphnia13757-RA	XP_046464071.1, XP_046443649.1	XP_046643013.1	
N0.HOG0000700	OG0000156	n10		CAH0112585.1, CAH0102469.1, CAH0104235.1	XP_032779641.2, XP_045028037.1				
N0.HOG0000701	OG0000156	n16		CAH0113405.1					KAI9557205.1
N0.HOG0000702	OG0000156	n17		CAH0112586.1, CAH0099499.1		Daphnia03033-RA			KAI9560500.1
N0.HOG0000703	OG0000156	n22		CAH0101683.1	XP_032799002.2, XP_045023408.1, XP_045024977.1	Daphnia09086-RA			KAI9550913.1
N0.HOG0000704	OG0000156	n27			XP_045032087.1	Daphnia07788-RA			
N0.HOG0000705	OG0000157	n0		CAH0104053.1		Daphnia02935-RA	XP_046454758.1, XP_046437995.1, XP_046452046.1, XP_046451256.1, XP_046451984.1, XP_046440959.1, XP_046460494.1, XP_046442265.1, XP_046453640.1, XP_046453644.1, XP_046459441.1	XP_046636846.1, XP_046636747.1, XP_046633627.1, XP_046653355.1, XP_046653360.1, XP_046653353.1, XP_046639131.1, XP_046651266.1, XP_046633602.1, XP_046633612.1, XP_046634506.1, XP_046653354.1, XP_046645868.1, XP_046645883.1, XP_046645808.1, XP_046645866.1	
N0.HOG0000706	OG0000158	n0			XP_045023961.1, XP_045023021.1, XP_045032684.1, XP_032796735.2, XP_032791689.1		XP_046438866.1, XP_046456129.1, XP_046451506.1	XP_046630604.1, XP_046646457.1, XP_046630689.1	KAI9554963.1, KAI9562508.1, KAI9551055.1, KAI9550769.1, KAI9557197.1, KAI9550704.1, KAI9565080.1, KAI9558382.1, KAI9551261.1, KAI9565110.1, KAI9553724.1, KAI9553741.1, KAI9555942.1, KAI9549303.1, KAI9555921.1, KAI9557222.1, KAI9557212.1, KAI9553632.1
N0.HOG0000707	OG0000159	n0			XP_045032019.1		XP_046463964.1, XP_046460585.1, XP_046447575.1, XP_046464450.1, XP_046455039.1, XP_046462547.1, XP_046442835.1, XP_046446484.1, XP_046453472.1, XP_046448956.1, XP_046457423.1, XP_046453453.1, XP_046454151.1, XP_046460596.1, XP_046440099.1, XP_046459868.1, XP_046446917.1, XP_046440479.1, XP_046449855.1, XP_046462860.1, XP_046438100.1, XP_046464542.1, XP_046442292.1, XP_046456066.1, XP_046452061.1, XP_046455452.1	XP_046647662.1	KAI9565279.1
N0.HOG0000708	OG0000160	n0				Daphnia09266-RA, Daphnia09264-RA, Daphnia03747-RA, Daphnia09357-RA, Daphnia09236-RA	XP_046463001.1, XP_046462991.1, XP_046456542.1, XP_046456502.1, XP_046456465.1, XP_046456460.1, XP_046456451.1, XP_046456515.1, XP_046456533.1, XP_046456510.1, XP_046456442.1, XP_046456523.1, XP_046456476.1, XP_046456485.1, XP_046456493.1, XP_046463168.1, XP_046462431.1	XP_046655110.1, XP_046655959.1, XP_046654781.1, XP_046654783.1, XP_046654780.1, XP_046655792.1, XP_046655960.1	
N0.HOG0000709	OG0000161	n1			XP_045028114.1		XP_046453069.1, XP_046461192.1, XP_046462194.1, XP_046453802.1, XP_046449161.1, XP_046450360.1, XP_046453572.1, XP_046454828.1, XP_046446099.1, XP_046443024.1, XP_046450555.1, XP_046440580.1, XP_046449782.1, XP_046451357.1	XP_046653737.1, XP_046648424.1	
N0.HOG0000710	OG0000161	n17	XP_057377371.1, XP_057381572.1, XP_057372193.1, XP_057380942.1, XP_057375000.1, XP_057375003.1, XP_057365013.1	CAH0102715.1	XP_045033919.1			XP_046643420.1	KAI9565063.1
N0.HOG0000711	OG0000162	n1	XP_057365041.1	CAH0106919.1	XP_045027866.1, XP_045027864.1, XP_045028606.1, XP_045028609.1, XP_032798472.2		XP_046457145.1, XP_046458939.1	XP_046645175.1, XP_046637859.1	KAI9558831.1
N0.HOG0000712	OG0000162	n12	XP_057368962.1		XP_045028205.1	Daphnia00015-RB, Daphnia00036-RB	XP_046459689.1, XP_046459691.1, XP_046459694.1, XP_046457252.1, XP_046456997.1, XP_046459698.1	XP_046648599.1, XP_046648600.1, XP_046648593.1, XP_046648601.1, XP_046646498.1	KAI9558632.1
N0.HOG0000713	OG0000163	n1	XP_057379556.1, XP_057379557.1	CAH0106649.1	XP_032794679.1, XP_032794680.2	Daphnia09296-RA, Daphnia09297-RA, Daphnia09294-RA, Daphnia09299-RB	XP_046463014.1, XP_046463010.1, XP_046463012.1, XP_046463016.1, XP_046463009.1, XP_046463015.1, XP_046463013.1, XP_046463011.1	XP_046656130.1	KAI9559966.1, KAI9559965.1, KAI9559967.1
N0.HOG0000714	OG0000163	n21	XP_057365311.1	CAH0110196.1, CAH0103755.1		Daphnia01645-RA	XP_046458190.1	XP_046647938.1	KAI9559841.1
N0.HOG0000715	OG0000164	n2		CAH0103569.1, CAH0098834.1	XP_032779702.2, XP_045031907.1, XP_045027162.1	Daphnia06884-RA		XP_046640528.1	
N0.HOG0000716	OG0000164	n10		CAH0112590.1	XP_045035971.1, XP_045035155.1				
N0.HOG0000717	OG0000164	n12		CAH0112093.1	XP_045035082.1, XP_045035156.1				
N0.HOG0000718	OG0000164	n14	XP_057376547.1, XP_057376549.1, XP_057376548.1, XP_057366243.1, XP_057366267.1		XP_045025963.1, XP_032781957.2, XP_045026677.1		XP_046455431.1		KAI9553717.1, KAI9560158.1, KAI9560164.1, KAI9555068.1, KAI9562202.1
N0.HOG0000719	OG0000165	n1			XP_045029495.1		XP_046453055.1	XP_046635336.1, XP_046640226.1	
N0.HOG0000720	OG0000165	n4	XP_057366737.1, XP_057376201.1, XP_057380941.1		XP_045026738.1, XP_045023374.1, XP_045030444.1, XP_045036469.1, XP_032794775.2, XP_045036780.1, XP_045025118.1, XP_045022924.1, XP_045035974.1, XP_045035887.1, XP_045023160.1, XP_032796168.2, XP_032793826.1, XP_045027925.1, XP_045033928.1, XP_045026478.1		XP_046456114.1	XP_046646522.1	KAI9557234.1, KAI9557107.1, KAI9551100.1
N0.HOG0000721	OG0000166	n1	XP_057367284.1		XP_045033225.1, XP_045033230.1	Daphnia04760-RA	XP_046450424.1, XP_046450425.1, XP_046450420.1, XP_046450423.1, XP_046450421.1, XP_046450419.1	XP_046642001.1, XP_046641999.1, XP_046642004.1	KAI9563274.1, KAI9563271.1
N0.HOG0000722	OG0000166	n15	XP_057367004.1, XP_057367282.1, XP_057367003.1, XP_057367283.1	CAH0102950.1	XP_032789182.2, XP_032789185.2	Daphnia04515-RA, Daphnia04499-RA	XP_046449385.1	XP_046636398.1	KAI9563272.1, KAI9563270.1
N0.HOG0000723	OG0000167	n0	XP_057376959.1	CAH0109573.1, CAH0109574.1	XP_045033551.1, XP_045033550.1, XP_032797652.2	Daphnia13306-RA, Daphnia13307-RA, Daphnia13673-RA, Daphnia13675-RA	XP_046461612.1, XP_046461614.1, XP_046461611.1, XP_046461610.1, XP_046461609.1, XP_046461608.1, XP_046461606.1, XP_046461607.1	XP_046634263.1, XP_046634287.1, XP_046634291.1, XP_046634282.1, XP_046634277.1, XP_046634253.1, XP_046634254.1	KAI9552364.1, KAI9552366.1, KAI9553233.1
N0.HOG0000724	OG0000168	n1		CAH0104760.1, CAH0110301.1, CAH0098438.1			XP_046438885.1		KAI9549182.1, KAI9565147.1, KAI9552195.1
N0.HOG0000725	OG0000168	n8		CAH0110004.1, CAH0104180.1					
N0.HOG0000726	OG0000168	n12			XP_045035833.1, XP_045029687.1				
N0.HOG0000727	OG0000168	n14	XP_057381568.1	CAH0102900.1, CAH0108858.1, CAH0102899.1, CAH0113440.1, CAH0110357.1					KAI9562483.1
N0.HOG0000728	OG0000168	n23		CAH0113351.1					KAI9562484.1
N0.HOG0000729	OG0000168	n24		CAH0108968.1					KAI9551311.1
N0.HOG0000730	OG0000168	n25		CAH0113353.1, CAH0113352.1					
N0.HOG0000731	OG0000168	n26		CAH0101001.1	XP_032799021.2				
N0.HOG0000732	OG0000169	n9					XP_046443051.1	XP_046646321.1	
N0.HOG0000733	OG0000169	n11	XP_057380927.1				XP_046462671.1	XP_046643416.1	
N0.HOG0000734	OG0000169	n13			XP_045031457.1, XP_045035682.1, XP_045023034.1		XP_046453691.1	XP_046635711.1, XP_046642521.1, XP_046644475.1, XP_046635939.1	KAI9560368.1, KAI9550646.1
N0.HOG0000735	OG0000169	n22	XP_057377380.1		XP_045023054.1		XP_046446935.1	XP_046648365.1, XP_046632178.1	KAI9550647.1
N0.HOG0000736	OG0000170	n1	XP_057381619.1		XP_032795568.2		XP_046455788.1	XP_046656186.1	KAI9552927.1
N0.HOG0000737	OG0000170	n6	XP_057381029.1		XP_032795567.2		XP_046455785.1	XP_046656155.1	
N0.HOG0000738	OG0000170	n11	XP_057381030.1		XP_032795569.2		XP_046455786.1	XP_046656173.1	
N0.HOG0000739	OG0000170	n14			XP_032795572.2			XP_046656192.1	
N0.HOG0000740	OG0000170	n16			XP_045036542.1	Daphnia07283-RA	XP_046454403.1		KAI9552866.1
N0.HOG0000741	OG0000170	n20	XP_057377455.1, XP_057377454.1		XP_045036186.1, XP_032795330.2				
N0.HOG0000742	OG0000170	n24		CAH0099332.1					KAI9553189.1
N0.HOG0000743	OG0000170	n25		CAH0098564.1			XP_046454425.1		KAI9553252.1
N0.HOG0000744	OG0000171	n1	XP_057379378.1	CAH0104369.1	XP_045034243.1, XP_045022947.1	Daphnia09065-RA, Daphnia09013-RA	XP_046443532.1	XP_046632777.1, XP_046632825.1	KAI9552450.1
N0.HOG0000745	OG0000171	n10	XP_057379477.1, XP_057379390.1	CAH0107705.1, CAH0102451.1, CAH0105510.1, CAH0105962.1, CAH0105514.1	XP_032792199.2, XP_032792205.2	Daphnia07979-RA, Daphnia09057-RA	XP_046443350.1, XP_046443340.1	XP_046632778.1, XP_046632765.1, XP_046632775.1	KAI9552457.1, KAI9552454.1
N0.HOG0000746	OG0000172	n0	XP_057380397.1, XP_057380690.1, XP_057380689.1		XP_032786327.2, XP_045029590.1, XP_045029591.1, XP_045029592.1, XP_045033452.1, XP_045033509.1, XP_045029580.1, XP_045033508.1, XP_032780311.2, XP_045033503.1, XP_045033721.1, XP_045033722.1, XP_032786319.1, XP_045024798.1, XP_045033719.1, XP_032786313.2				KAI9554764.1, KAI9554766.1, KAI9554771.1, KAI9554772.1, KAI9554765.1, KAI9554768.1, KAI9554770.1, KAI9554769.1, KAI9554767.1
N0.HOG0000747	OG0000173	n0		CAH0102557.1, CAH0100567.1, CAH0106486.1, CAH0106863.1		Daphnia08103-RA, Daphnia00277-RA, Daphnia00283-RA	XP_046445350.1, XP_046445349.1, XP_046445348.1, XP_046443524.1, XP_046443523.1, XP_046445353.1, XP_046445352.1, XP_046445351.1, XP_046456337.1, XP_046445240.1	XP_046630695.1, XP_046630694.1, XP_046630696.1, XP_046630697.1, XP_046630698.1, XP_046630700.1, XP_046645492.1, XP_046646424.1, XP_046644492.1, XP_046645687.1, XP_046646423.1	
N0.HOG0000748	OG0000174	n0	XP_057373283.1, XP_057365493.1, XP_057374928.1, XP_057376524.1, XP_057376529.1, XP_057364947.1	CAH0098829.1	XP_045035772.1, XP_045023695.1, XP_045026865.1, XP_045023601.1, XP_045023756.1, XP_045023768.1, XP_045023833.1, XP_045023762.1, XP_045034686.1, XP_045025736.1, XP_045023194.1, XP_045032117.1, XP_045035743.1, XP_045023679.1, XP_045029100.1, XP_045029149.1			XP_046650477.1	KAI9562529.1, KAI9565305.1, KAI9563883.1
N0.HOG0000749	OG0000175	n2	XP_057365133.1	CAH0099929.1	XP_045034931.1		XP_046463179.1, XP_046463178.1		
N0.HOG0000750	OG0000175	n6	XP_057365132.1	CAH0109894.1, CAH0109902.1	XP_032794814.2	Daphnia09288-RA	XP_046463038.1	XP_046656812.1	KAI9559822.1
N0.HOG0000751	OG0000175	n15	XP_057365122.1, XP_057365335.1	CAH0099930.1	XP_032794808.2, XP_045026481.1		XP_046463180.1	XP_046655018.1	KAI9559858.1
N0.HOG0000752	OG0000175	n22	XP_057365136.1		XP_045034948.1		XP_046463181.1	XP_046655768.1, XP_046655769.1	
N0.HOG0000753	OG0000176	n1	XP_057367581.1	CAH0103455.1	XP_032790974.2	Daphnia05029-RA	XP_046448782.1	XP_046636989.1	KAI9562675.1
N0.HOG0000754	OG0000176	n10		CAH0103456.1	XP_032790975.1		XP_046449210.1	XP_046636850.1	KAI9562676.1
N0.HOG0000755	OG0000176	n14	XP_057367568.1	CAH0103457.1	XP_032790971.1		XP_046449211.1, XP_046449212.1		KAI9562677.1
N0.HOG0000756	OG0000176	n19		CAH0105658.1		Daphnia01935-RA	XP_046452445.1	XP_046634688.1	
N0.HOG0000757	OG0000176	n22	XP_057367570.1		XP_045032239.1		XP_046450130.1	XP_046636937.1	KAI9562674.1
N0.HOG0000758	OG0000177	n0	XP_057368006.1, XP_057368008.1, XP_057368009.1	CAH0103043.1, CAH0103044.1, CAH0113213.1, CAH0103042.1	XP_045033194.1, XP_032789098.2, XP_045033195.1	Daphnia04686-RA, Daphnia04688-RA, Daphnia04685-RA, Daphnia04687-RA	XP_046448949.1, XP_046449359.1, XP_046449358.1, XP_046448966.1, XP_046438492.1	XP_046637265.1, XP_046637274.1, XP_046637181.1, XP_046640117.1	KAI9563243.1, KAI9563386.1, KAI9551156.1, KAI9563242.1
N0.HOG0000759	OG0000178	n1	XP_057368621.1, XP_057368580.1	CAH0107940.1	XP_032782554.2, XP_032782559.2	Daphnia00620-RA	XP_046458992.1	XP_046638051.1	KAI9559184.1
N0.HOG0000760	OG0000178	n10	XP_057368599.1	CAH0104686.1, CAH0104687.1	XP_032782562.2		XP_046459014.1	XP_046638127.1	KAI9559190.1
N0.HOG0000761	OG0000178	n16	XP_057368588.1, XP_057368587.1	CAH0104683.1	XP_032782560.2, XP_032782034.2	Daphnia00642-RC	XP_046456177.1	XP_046638479.1, XP_046638525.1, XP_046638072.1	KAI9559195.1
N0.HOG0000762	OG0000179	n1	XP_057372384.1	CAH0108752.1	XP_032799449.1	Daphnia13235-RA	XP_046461750.1	XP_046653000.1, XP_046633571.1	KAI9561076.1, KAI9561077.1
N0.HOG0000763	OG0000179	n11	XP_057371629.1		XP_032777529.2			XP_046649771.1	KAI9564198.1
N0.HOG0000764	OG0000179	n15	XP_057371630.1		XP_032777528.2	Daphnia11169-RB		XP_046649790.1	KAI9564197.1
N0.HOG0000765	OG0000179	n19	XP_057371631.1		XP_045025396.1, XP_045025397.1, XP_045025398.1, XP_032777530.2	Daphnia11170-RA		XP_046649794.1	KAI9564199.1
N0.HOG0000766	OG0000180	n1	XP_057373045.1	CAH0110356.1, CAH0109243.1	XP_032776527.2	Daphnia13118-RA	XP_046461972.1	XP_046653242.1	KAI9560926.1
N0.HOG0000767	OG0000180	n9	XP_057372286.1		XP_045036563.1	Daphnia13279-RA	XP_046461165.1	XP_046654170.1, XP_046634186.1	KAI9561017.1
N0.HOG0000768	OG0000180	n17	XP_057372293.1	CAH0109244.1, CAH0109241.1	XP_045028946.1		XP_046461971.1	XP_046653225.1	
N0.HOG0000769	OG0000180	n22	XP_057373041.1	CAH0109240.1			XP_046461973.1	XP_046653980.1	KAI9560929.1
N0.HOG0000770	OG0000181	n0	XP_057376691.1, XP_057376690.1	CAH0101870.1	XP_045032480.1, XP_045032478.1, XP_045032476.1, XP_045032485.1, XP_045032483.1, XP_045032482.1, XP_045032486.1, XP_045032484.1, XP_045032475.1, XP_045032487.1, XP_045032488.1, XP_045032477.1, XP_045032479.1, XP_045032481.1, XP_032789978.2, XP_045032474.1	Daphnia12377-RA, Daphnia12376-RA, Daphnia05177-RA	XP_046448369.1	XP_046641004.1, XP_046641002.1	KAI9563521.1, KAI9563523.1
N0.HOG0000771	OG0000182	n0	XP_057378069.1, XP_057378067.1, XP_057378068.1	CAH0111671.1, CAH0111670.1	XP_045035856.1	Daphnia07456-RA, Daphnia07457-RA, Daphnia07203-RA	XP_046454040.1, XP_046455677.1, XP_046454038.1, XP_046454039.1, XP_046454036.1, XP_046454037.1, XP_046454035.1, XP_046454469.1, XP_046454417.1	XP_046657469.1, XP_046657464.1, XP_046657465.1, XP_046654982.1, XP_046657462.1, XP_046657461.1, XP_046640339.1, XP_046656665.1, XP_046657569.1	
N0.HOG0000772	OG0000183	n1		CAH0110218.1					KAI9549855.1
N0.HOG0000773	OG0000183	n5							KAI9552214.1, KAI9556842.1
N0.HOG0000774	OG0000183	n8			XP_045030446.1, XP_045023085.1				KAI9565174.1, KAI9552626.1
N0.HOG0000775	OG0000183	n12		CAH0113416.1, CAH0110235.1	XP_045023829.1				KAI9552666.1, KAI9552539.1
N0.HOG0000776	OG0000183	n16	XP_057378585.1	CAH0112017.1					KAI9555959.1, KAI9560623.1, KAI9558417.1, KAI9558444.1, KAI9565042.1
N0.HOG0000777	OG0000183	n22			XP_045027129.1				KAI9555011.1, KAI9554995.1, KAI9558367.1
N0.HOG0000778	OG0000183	n25		CAH0098669.1					KAI9555973.1
N0.HOG0000779	OG0000184	n0	XP_057379328.1, XP_057379369.1	CAH0101436.1	XP_032791202.2	Daphnia09255-RA, Daphnia09256-RA, Daphnia09120-RA, Daphnia09161-RA, Daphnia08532-RA	XP_046462509.1, XP_046462511.1, XP_046462512.1, XP_046462510.1, XP_046462961.1, XP_046462962.1, XP_046462957.1, XP_046462958.1, XP_046462959.1, XP_046462960.1, XP_046447029.1, XP_046444357.1	XP_046656246.1, XP_046654404.1, XP_046654229.1, XP_046654220.1, XP_046631022.1	KAI9551730.1
N0.HOG0000780	OG0000185	n0	XP_057380214.1		XP_045027613.1, XP_045027616.1, XP_045027612.1, XP_045027615.1, XP_045027608.1, XP_045027610.1, XP_045027614.1, XP_045027611.1, XP_045027609.1, XP_045027617.1	Daphnia01084-RA	XP_046457130.1, XP_046457135.1, XP_046457132.1, XP_046457134.1, XP_046457133.1, XP_046457131.1	XP_046646737.1, XP_046646742.1, XP_046646740.1, XP_046646739.1, XP_046646744.1, XP_046646736.1, XP_046646741.1, XP_046646743.1	KAI9557895.1
N0.HOG0000781	OG0000186	n0		CAH0099272.1, CAH0100139.1, CAH0102917.1, CAH0104426.1, CAH0104259.1, CAH0105174.1, CAH0112444.1, CAH0106272.1, CAH0109646.1, CAH0108952.1, CAH0112051.1, CAH0104388.1	XP_045023821.1, XP_045023720.1, XP_045023758.1, XP_045023879.1, XP_045035112.1, XP_045023755.1, XP_045034839.1, XP_045032623.1, XP_045035889.1, XP_045023983.1, XP_045036922.1				KAI9558384.1, KAI9560529.1, KAI9551038.1, KAI9553747.1
N0.HOG0000782	OG0000187	n1		CAH0105377.1	XP_045028545.1, XP_045023428.1	Daphnia12762-RA	XP_046451380.1	XP_046645646.1, XP_046640329.1, XP_046647689.1	KAI9553648.1, KAI9553721.1, KAI9550569.1
N0.HOG0000783	OG0000187	n14			XP_045026775.1, XP_045023528.1				
N0.HOG0000784	OG0000187	n16		CAH0104735.1		Daphnia09107-RA			
N0.HOG0000785	OG0000187	n20				Daphnia07930-RA			KAI9553720.1
N0.HOG0000786	OG0000187	n21				Daphnia03003-RA			KAI9553647.1
N0.HOG0000787	OG0000187	n22				Daphnia03002-RA, Daphnia02171-RA			
N0.HOG0000788	OG0000187	n23				Daphnia01644-RA, Daphnia04384-RA, Daphnia02172-RA		XP_046647688.1	
N0.HOG0000789	OG0000188	n2				Daphnia04805-RA, Daphnia09005-RA			KAI9556822.1
N0.HOG0000790	OG0000188	n6		CAH0112696.1, CAH0103572.1	XP_045032066.1, XP_045028964.1, XP_045032435.1				
N0.HOG0000791	OG0000188	n10		CAH0108422.1	XP_045032636.1, XP_045025196.1, XP_045023750.1				
N0.HOG0000792	OG0000188	n13		CAH0106314.1	XP_045034567.1, XP_045024828.1, XP_045027387.1, XP_045027189.1, XP_045034634.1, XP_045026844.1, XP_045022912.1, XP_045034358.1		XP_046452479.1, XP_046455138.1, XP_046455140.1		KAI9550559.1, KAI9550638.1
N0.HOG0000793	OG0000189	n2			XP_032798503.2, XP_045026618.1		XP_046438430.1	XP_046640302.1, XP_046635690.1	
N0.HOG0000794	OG0000189	n8			XP_032796132.1		XP_046453198.1		
N0.HOG0000795	OG0000189	n9			XP_045034351.1		XP_046453769.1, XP_046449293.1	XP_046643167.1, XP_046643171.1	
N0.HOG0000796	OG0000189	n14			XP_032791846.2, XP_032796134.2			XP_046632223.1, XP_046647663.1	KAI9562490.1
N0.HOG0000797	OG0000189	n22			XP_045033887.1			XP_046652139.1	
N0.HOG0000798	OG0000189	n23			XP_045027158.1		XP_046443861.1	XP_046633486.1	
N0.HOG0000799	OG0000189	n25					XP_046455424.1	XP_046651495.1	
N0.HOG0000800	OG0000190	n0					XP_046439363.1, XP_046444030.1, XP_046439361.1, XP_046444028.1, XP_046444031.1, XP_046444026.1, XP_046444024.1, XP_046444029.1, XP_046455091.1, XP_046444027.1, XP_046439360.1, XP_046455090.1, XP_046439359.1, XP_046444025.1	XP_046637507.1, XP_046650919.1, XP_046637510.1, XP_046650936.1, XP_046637508.1, XP_046637509.1, XP_046650935.1, XP_046637526.1, XP_046650937.1, XP_046637523.1, XP_046637524.1, XP_046637511.1, XP_046637506.1	
N0.HOG0000801	OG0000191	n1	XP_057365089.1	CAH0101588.1, CAH0102186.1	XP_045024286.1	Daphnia01755-RA, Daphnia04880-RA	XP_046450754.1	XP_046636638.1, XP_046636637.1	KAI9559777.1
N0.HOG0000802	OG0000191	n10		CAH0111137.1	XP_032794875.2	Daphnia02208-RA, Daphnia02207-RA, Daphnia09341-RA, Daphnia02209-RA, Daphnia01765-RA, Daphnia01789-RA, Daphnia09352-RA	XP_046463129.1, XP_046463147.1	XP_046656042.1, XP_046640297.1, XP_046640296.1, XP_046657680.1	KAI9559781.1
N0.HOG0000803	OG0000192	n1	XP_057365169.1	CAH0105210.1	XP_032793722.1, XP_045035342.1	Daphnia09453-RA, Daphnia09431-RA	XP_046463282.1, XP_046463338.1	XP_046631087.1, XP_046631073.1	KAI9559688.1
N0.HOG0000804	OG0000192	n12	XP_057365454.1		XP_032793723.1, XP_045036920.1		XP_046463281.1	XP_046631059.1	KAI9559689.1
N0.HOG0000805	OG0000192	n17	XP_057365453.1	CAH0105209.1	XP_032793720.2, XP_045036919.1	Daphnia09433-RA	XP_046463283.1	XP_046643428.1, XP_046630962.1	KAI9559690.1
N0.HOG0000806	OG0000193	n2	XP_057378541.1		XP_032779989.2		XP_046453700.1, XP_046453699.1, XP_046453702.1, XP_046453703.1, XP_046453701.1	XP_046632502.1, XP_046632504.1, XP_046632503.1	KAI9555734.1
N0.HOG0000807	OG0000193	n13	XP_057366075.1					XP_046632663.1	KAI9555735.1
N0.HOG0000808	OG0000193	n15	XP_057378245.1		XP_045026751.1, XP_045026750.1		XP_046453689.1, XP_046453664.1, XP_046453673.1, XP_046453655.1, XP_046453650.1, XP_046453681.1	XP_046632520.1	KAI9555733.1
N0.HOG0000809	OG0000194	n1	XP_057366151.1, XP_057366098.1, XP_057366150.1	CAH0110929.1, CAH0110928.1, CAH0098696.1	XP_045035216.1	Daphnia06585-RA	XP_046440487.1	XP_046644086.1	KAI9550844.1, KAI9550869.1, KAI9560448.1
N0.HOG0000810	OG0000194	n14	XP_057366149.1	CAH0110927.1	XP_032794496.2	Daphnia09769-RC	XP_046462317.1	XP_046634308.1	KAI9550843.1, KAI9550870.1
N0.HOG0000811	OG0000194	n21		CAH0110941.1	XP_045034886.1		XP_046463747.1	XP_046634321.1	KAI9560420.1
N0.HOG0000812	OG0000195	n1			XP_045032420.1, XP_032790955.2				
N0.HOG0000813	OG0000195	n3	XP_057367443.1	CAH0104678.1, CAH0102924.1, CAH0106695.1, CAH0105703.1, CAH0104673.1, CAH0105729.1, CAH0104679.1			XP_046448827.1	XP_046638636.1, XP_046641596.1, XP_046640523.1, XP_046638167.1, XP_046638184.1	KAI9554723.1
N0.HOG0000814	OG0000195	n18	XP_057378832.1	CAH0108974.1		Daphnia00371-RA	XP_046456599.1	XP_046638192.1	KAI9563923.1
N0.HOG0000815	OG0000195	n23		CAH0111714.1				XP_046642714.1	KAI9562684.1
N0.HOG0000816	OG0000196	n0	XP_057367950.1, XP_057367945.1, XP_057367942.1, XP_057367944.1, XP_057367951.1, XP_057367949.1, XP_057367954.1, XP_057367940.1, XP_057367952.1, XP_057367943.1, XP_057367941.1, XP_057367946.1, XP_057367948.1, XP_057367953.1, XP_057367939.1, XP_057367938.1	CAH0103442.1, CAH0103436.1	XP_032788635.2, XP_032788641.2		XP_046458283.1, XP_046450226.1, XP_046450486.1	XP_046648318.1, XP_046637720.1	KAI9562625.1
N0.HOG0000817	OG0000197	n1	XP_057372264.1	CAH0109440.1			XP_046460618.1	XP_046633785.1	KAI9561281.1
N0.HOG0000818	OG0000197	n6	XP_057368331.1, XP_057368444.1, XP_057367955.1, XP_057367956.1	CAH0109509.1, CAH0101908.1, CAH0102546.1, CAH0099351.1	XP_032799049.2		XP_046460822.1, XP_046449164.1	XP_046633786.1	KAI9559239.1, KAI9562638.1
N0.HOG0000819	OG0000197	n19	XP_057372975.1	CAH0109441.1			XP_046460825.1, XP_046460826.1, XP_046460827.1	XP_046633799.1	KAI9561280.1
N0.HOG0000820	OG0000198	n2		CAH0107084.1, CAH0113010.1	XP_032798081.1		XP_046459070.1, XP_046456184.1	XP_046638631.1	KAI9559235.1
N0.HOG0000821	OG0000198	n9	XP_057368017.1, XP_057368115.1	CAH0099650.1	XP_032788630.2, XP_045031901.1, XP_045036406.1		XP_046451216.1, XP_046451527.1, XP_046450764.1	XP_046632111.1, XP_046639175.1, XP_046639856.1, XP_046637704.1	KAI9560418.1, KAI9562635.1, KAI9553598.1
